area_sq_km,capacity_mw_ac,capacity_mw_dc,cnty_fips,country,county,dist_km,elevation,latitude,lcot,longitude,mean_cf_ac,mean_cf_dc,mean_lcoe,mean_res,reg_mult,reinforcement_cost_per_mw_ac,reinforcement_dist_km,sc_point_gid,state,timezone,total_lcoe,trans_cap_cost_per_mw_ac
1.204307940673828,38.64570449377158,51.7852414489746,53073,United States,Whatcom,0.9963961030678928,23.2,48.994,41.386483384381776,-122.735,0.19883126,0.14838155,59.87425709754124,3.377832,1.0187303,813613.0513085702,229.4184349193356,416,Washington,-8,101.26074048192302,77430.2111570799
0.8135640197753906,26.10690640918063,34.9832528503418,53055,United States,San Juan,14.00491557497398,32.8,49.022,59.52512619781256,-122.575,0.1956991,0.1460441,60.68953568115725,3.3234246,1.015822,776337.8233968806,207.5515388290221,417,Washington,-8,120.2146618789698,485038.58143157937
0.1613520006179809,5.177713709894209,6.93813602657318,53073,United States,Whatcom,7.467350647362943,20.0,48.873,355.0788057193065,-122.848,0.20407446,0.15229434,58.3531232518396,3.465,1.0190946,806946.6543928104,216.31991544742945,795,Washington,-8,413.4319289711461,7039424.995077247
3.37365,108.2589232887268,145.06695,53073,United States,Whatcom,0.9436753236814714,40.5625,48.9,38.12626669097469,-122.688,0.20262648,0.1512138,58.75952227749448,3.4343858,1.0188717,804270.6694975446,216.0435193443616,796,Washington,-8,96.88578896846916,32248.83223733312
0.9396000617980956,30.15134318027767,40.40280265731811,53073,United States,Whatcom,6.911909088590098,28.75,48.927,47.129721244095805,-122.528,0.1966125,0.14672574,60.423369773344085,3.343731,1.0161444,776337.8233968806,207.5515388290221,797,Washington,-8,107.5530910174399,227033.287301512
1.7862119110107422,57.31874327553897,76.80711217346192,53073,United States,Whatcom,5.937350647362942,32.63636363636363,48.954,42.71829402049188,-122.369,0.19176456,0.14310786,61.93050953827659,3.2699833,1.0157373,776337.8233968806,207.5515388290221,798,Washington,-8,104.64880355876846,110691.03509721028
3.513779901123047,112.75562929442889,151.09253574829103,53073,United States,Whatcom,5.161980515339462,277.8181818181818,48.981,44.864869709554185,-122.208,0.184517,0.13769925,64.34219158830746,3.1613905,1.0153375,816643.6711710684,225.08189596276893,799,Washington,-8,109.20706129786164,79749.10300204206
1.2694320098876952,40.73550197613569,54.58557642517089,53073,United States,Whatcom,18.43300648638388,662.4285714285714,49.008,62.36281097962259,-122.048,0.18385054,0.13720189,64.55268100646272,3.1443481,1.014903,816643.6711710684,225.08189596276893,800,Washington,-8,126.9154919860853,424854.80131521
0.0081,0.2599253551483154,0.3483,53073,United States,Whatcom,27.65512985522207,1144.0,49.034,5821.837575731784,-121.888,0.18900718,0.14105012,62.75661185927872,3.183,1.0142175,862356.2552819458,225.0750453026516,801,Washington,-8,5884.594187591062,118287619.35233374
4.93411470336914,158.33353939199938,212.166932244873,53073,United States,Whatcom,2.998233764908628,34.45454545454545,48.806,36.34224992802218,-122.642,0.20301811,0.15150605,58.65127359087816,3.444424,1.0189791,762266.3198668974,198.3267661075469,1176,Washington,-8,94.99352351890036,36651.572609783405
3.557682009887696,114.16442837701464,152.9803264251709,53073,United States,Whatcom,6.338376618407357,47.333333333333336,48.833,36.98426144471227,-122.483,0.20012985,0.14935061,59.38139463314567,3.4066534,1.0165598,722181.3541899197,188.07206481282105,1177,Washington,-8,96.36565607785792,79283.18657362467
3.588299752807617,115.14693808668864,154.2968893707275,53073,United States,Whatcom,11.60579869251967,125.72222222222224,48.86,41.83570729721982,-122.323,0.18995436,0.14175698,62.54351591237671,3.2461731,1.0161881,722181.3541899197,188.07206481282105,1178,Washington,-8,104.37922320959652,138320.73593935685
1.8296279159545896,58.71194350339871,78.67400038604737,53073,United States,Whatcom,4.780142853498728,396.5833333333333,48.887,49.02240366350482,-122.163,0.18537413,0.13833891,64.06547576772333,3.154899,1.0157379,862356.2552819458,225.0750453026516,1179,Washington,-8,113.08787943122816,121653.2928693718
0.5187240074157714,16.645619981666886,22.30513231887817,53073,United States,Whatcom,11.07484414822461,511.3333333333333,48.914,86.13722893578958,-122.003,0.18249674,0.1361916,65.05700426376194,3.1356497,1.0153856,862356.2552819458,225.0750453026516,1180,Washington,-8,151.19423319955152,839808.6467468059
0.1989359956741332,6.38376658362751,8.55424781398773,53073,United States,Whatcom,24.0950584284727,1273.25,48.94,255.5121013954568,-121.843,0.19011445,0.14187646,62.41027011251841,3.1937003,1.0145962,862356.2552819458,225.0750453026516,1181,Washington,-8,317.9223715079752,4397601.188063387
1.4032440444946288,45.02946995370678,60.33949391326904,53009,United States,Clallam,50.20319477007867,174.7,48.347,115.3468681169704,-124.653,0.18688022,0.13946286,63.82150479505589,3.167168,1.0210272,1153183.3281275344,380.86470103963694,1543,Washington,-8,179.16837291202629,1180945.310493446
0.485351985168457,15.5747305074913,20.87013536224365,53009,United States,Clallam,45.5337921806269,198.75,48.376,275.73493623402027,-124.495,0.1898191,0.14165603,62.82616160784679,3.2099087,1.020884,1153183.3281275344,380.86470103963694,1544,Washington,-8,338.5610978418671,4514259.811774601
1.1132640197753905,35.724141446167856,47.87035285034179,53073,United States,Whatcom,18.6295454429505,21.0,48.712,63.20862486800566,-122.596,0.19817488,0.14789169,60.09498004241805,3.3819084,1.0191916,762266.3198668974,198.3267661075469,1556,Washington,-8,123.3036049104237,594111.0238167994
1.2930839950561523,41.49447860450725,55.60261178741455,53073,United States,Whatcom,0.6518376618407357,154.23076923076923,48.739,35.27825911352315,-122.437,0.19619428,0.14641364,60.59114050345429,3.3315897,1.0169387,691285.9912486592,178.70722066459638,1557,Washington,-8,95.86939961697745,58175.19842012616
2.161728039550781,69.36888005114919,92.95430570068358,53073,United States,Whatcom,13.12035713374683,286.75,48.766,48.29464922833996,-122.278,0.18840599,0.1406015,63.07879015866205,3.2078817,1.016605,722181.3541899197,188.07206481282105,1558,Washington,-8,111.373439387002,263075.3143506202
2.837267742919922,91.0466559750854,122.00251294555665,53073,United States,Whatcom,39.96923373939973,308.09090909090907,48.793,45.635120128119866,-122.118,0.18347597,0.1369224,64.75233479133358,3.1407464,1.0161973,517308.1518832203,141.7335713374682,1559,Washington,-8,110.38745491945345,389330.1500431783
0.170747999382019,5.479226466695758,7.342163973426818,53073,United States,Whatcom,21.32799348810722,1099.142857142857,48.819,281.3840364567516,-121.958,0.19253509,0.14368288,61.67743168622626,3.233241,1.015633,862356.2552819458,225.0750453026516,1560,Washington,-8,343.06146814297784,5003952.1722315615
1.2645719604492187,40.57954517658823,54.3765942993164,53009,United States,Clallam,49.79951944639718,98.0,48.224,147.08874189501805,-124.761,0.18745592,0.1398925,63.6255115256192,3.1636443,1.0210277,1153183.3281275344,380.86470103963694,1922,Washington,-8,210.71425342063725,1832434.9285669583
8.036495782470702,257.88753338353536,345.56931864624016,53009,United States,Clallam,144.1642141782125,191.2,48.253,80.81110737811314,-124.604,0.18190546,0.13575035,65.56664718234359,3.0917797,1.0210223,659176.0323719732,268.6197920275735,1923,Washington,-8,146.3777545604567,932565.0631744288
2.5725600494384766,82.55229438156344,110.6200821258545,53009,United States,Clallam,33.19364932712816,201.92857142857144,48.282,79.19772968553242,-124.447,0.18809555,0.14036983,63.400590076610726,3.1763752,1.0208601,1153183.3281275344,380.86470103963694,1924,Washington,-8,142.59831976214315,459863.2901843317
0.3262679901123047,10.469794232696062,14.0295235748291,53009,United States,Clallam,34.9665129600133,111.0,48.311,364.0961705037871,-124.29,0.1892713,0.14124724,62.99817660034808,3.2228215,1.0206914,1153183.3281275344,380.86470103963694,1925,Washington,-8,427.0943471041352,6308837.258215661
1.6177320098876953,51.91229841867113,69.5624764251709,53057,United States,Skagit,5.934701294725884,235.6428571428572,48.645,35.27572733077302,-122.391,0.19235842,0.14355108,61.82570980237469,3.2576137,1.0174648,579989.2469793346,159.11855833919154,1937,Washington,-8,97.10143713314773,154766.18013765148
